ward_no,station_name,lat,lon
228,Maujpur,28.69111111,77.27611111
229,Braham Puri,28.68444444,77.26527778
230,Bhajanpura,28.70083333,77.25916667
231,Ghonda,28.69055556,77.26583333
232,Yamuna Vihar,28.70138889,77.27222222
233,Subhash Mohalla,28.69777778,77.26694444
234,Kabir Nagar,28.69222222,77.28222222
235,Gorakh Park,28.68333333,77.28083333
236,Kardam Puri,28.69777778,77.28777778
237,Harsh Vihar,28.70361111,77.31944444
238,Saboli,28.70638889,77.30222222
239,Gokal Puri,28.70333333,77.28277778
240,Joharipur,28.71555556,77.28388889
241,Karawal Nagar East,28.73083333,77.2725
242,Dayalpur,28.72083333,77.27166667
243,Mustafabad,28.71444444,77.27111111
244,Nehru Vihar,28.71055556,77.22027778
245,Brij Puri,28.705,77.2725
246,Sri Ram Colony,28.70527778,77.26527778
247,Sadatput,28.72611111,77.2625
248,Karawal Nagar West,28.72888889,77.26416667
249,Sonia Vihar,28.73583333,77.24833333
250,Sabapur,28.74777778,77.24916667
